일자,시간,홈팀,홈점수,VS,원정점수,원정팀,구장,중계,비고
06.01(일),14:00,두산,0,vs,1,키움,고척,S-T,-
06.01(일),17:00,삼성,6,vs,4,LG,잠실,SPO-T,-
06.01(일),17:00,SSG,4,vs,3,롯데,사직,MS-T; SS-T,-
06.01(일),17:00,한화,5,vs,16,NC,창원,KN-T,-
06.01(일),17:00,KIA,5,vs,3,KT,수원,SPO-2T,-
06.03(화),14:00,LG,15,vs,0,NC,창원,SPO-T,-
06.03(화),14:00,KT,1,vs,10,한화,대전(신),SS-T,-
06.03(화),17:00,KIA,11,vs,3,두산,잠실,KN-T,-
06.03(화),17:00,삼성,4,vs,6,SSG,문학,SPO-2T,-
06.03(화),17:00,키움,0,vs,8,롯데,사직,MS-T,-
06.04(수),18:30,KIA,8,vs,3,두산,잠실,KN-T,-
06.04(수),18:30,삼성,1,vs,4,SSG,문학,SPO-2T,-
06.04(수),18:30,키움,9,vs,6,롯데,사직,MS-T,-
06.04(수),18:30,LG,5,vs,6,NC,창원,SPO-T,-
06.04(수),18:30,KT,3,vs,4,한화,대전(신),SS-T,-
06.05(목),18:30,KIA,1,vs,2,두산,잠실,KN-T,-
06.05(목),18:30,삼성,3,vs,1,SSG,문학,SPO-2T,-
06.05(목),18:30,키움,10,vs,5,롯데,사직,MS-T,-
06.05(목),18:30,LG,3,vs,1,NC,창원,SPO-T,-
06.05(목),18:30,KT,7,vs,0,한화,대전(신),SS-T,-
06.06(금),17:00,롯데,2,vs,5,두산,잠실,MS-T,-
06.06(금),17:00,NC,3,vs,7,삼성,대구,SS-T,-
06.06(금),17:00,SSG,3,vs,10,KT,수원,SPO-2T; SPO-T,-
06.06(금),17:00,한화,2,vs,3,KIA,광주,K-2T,-
06.06(금),17:00,LG,1,vs,2,키움,고척,KN-T,-
06.07(토),17:00,롯데,9,vs,4,두산,잠실,SS-T,-
06.07(토),17:00,NC,11,vs,7,삼성,대구,KN-T,-
06.07(토),17:00,SSG,2,vs,3,KT,수원,SPO-T,-
06.07(토),17:00,한화,3,vs,2,KIA,광주,MS-T,-
06.07(토),17:00,LG,1,vs,4,키움,고척,SPO-2T,-
06.08(일),14:00,LG,7,vs,2,키움,고척,M-T,-
06.08(일),17:00,롯데,4,vs,2,두산,잠실,SS-T,-
06.08(일),17:00,NC,0,vs,1,삼성,대구,KN-T,-
06.08(일),17:00,SSG,3,vs,2,KT,수원,SPO-2T; SPO-T,-
06.08(일),17:00,한화,6,vs,7,KIA,광주,MS-T,-
06.10(화),18:30,SSG,6,vs,2,LG,잠실,KN-T,-
06.10(화),18:30,롯데,3,vs,12,KT,수원,SS-T,-
06.10(화),18:30,삼성,8,vs,0,KIA,광주,SPO-T,-
06.10(화),18:30,NC,2,vs,2,키움,고척,SPO-2T,-
06.10(화),18:30,두산,2,vs,6,한화,대전(신),MS-T,-
06.11(수),18:30,SSG,4,vs,6,LG,잠실,KN-T,-
06.11(수),18:30,롯데,4,vs,3,KT,수원,SS-T,-
